0
"604 SALCHICHON IBERICO BELLOTA LONCHEADO C/MAQUINA 100 GM .  2,17€/SOBRE"
"507 BIPACK CHORIZO IB BELLOTA EXTRA 50+50 GM .  2,12€/SOBRE"
"505 CHORIZO IBERICO BELLOTA LONCHEADO C/MAQUINA 100 GM .  2,17€/SOBRE"
"419 BIPACK CAÑA LOMO CEBO 50% RI 50+50 GM .  4,37€/SOBRE"
"303 QUESO BENITO MEZCLA ENTEROS  14,50€/KG"
"303 QUESO BENITO MEZCLA EN MITADES  14,81€/KG"
"302 QUESO BENITO OVEJA CURADO LECHE CRUDA CUÑA  18,75€/KG"
"302 QUESO BENITO OVEJA CURADO LECHE CRUDA ENTEROS  16,81€/KG"
"302 QUESO BENITO OVEJA CURADO LECHE CRUDA EN MITADES  17,13€/KG"
"300 QUESO BENITO OVEJA CURADO PASTEURIZADO ENTERO  16,44€/KG"
"300 QUESO BENITO OVEJA CURADO PASTEURIZADO EN MITADES  16,75€/KG"
"304 QUESO FILLOY MINI   16,38€/KG"
"301 QUESO FILLOY OVEJA ENTEROS  16,25€/KG"
"301 QUESO FILLOY OVEJA EN MITADES  16,56€/KG"
"305 QUESO MEZCLA MINI   14,70€/KG"
"700 ACEITE BENITO 0.5 L BOTELLA PLÁSTICO   4,19€/BOTELLA"
"702 ACEITE BENITO 5 LITROS   41,88€/BOTELLA"
